0.5343459,3.2095481,4.2512182
0.5316261,3.1100276,4.3939289
0.5304520,3.0101667,4.5366396
0.5307310,2.9100047,4.6760857
0.5323211,2.8114254,4.7901960
0.5351554,2.7119669,4.9043064
0.5391802,2.6115600,5.0184167
0.5442796,2.5112440,5.1275241
0.5502385,2.4128911,5.2231923
0.5571325,2.3135417,5.3188606
0.5649015,2.2131860,5.4145289
0.5733874,2.1129302,5.5067468
0.5823240,2.0147581,5.5895418
0.5919061,1.9156698,5.6723368
0.6020833,1.8156852,5.7551318
0.6127678,1.7151691,5.8370362
0.6235696,1.6171496,5.9103764
0.6347895,1.5183649,5.9837166
0.6463858,1.4188447,6.0570568
0.6583171,1.3186185,6.1303970
0.6702668,1.2199716,6.1982676
0.6823758,1.1214133,6.2644464
0.6946949,1.0222854,6.3306251
0.7071919,0.9226226,6.3968039
0.7197532,0.8231022,6.4613151
0.7322379,0.7246074,6.5219946
0.7448000,0.6257071,6.5826740
0.7574085,0.5264398,6.6433535
0.7700323,0.4268444,6.7040329
0.7825165,0.3279494,6.7615148
0.7949221,0.2291275,6.8179109
0.8072739,0.1300555,6.8743070
0.8195543,0.0307462,6.9307031
0.8317309,-0.0686661,6.9866393
0.8437032,-0.1674666,7.0394552
0.8555610,-0.2664727,7.0922710
0.8672933,-0.3656811,7.1450868
0.8788894,-0.4650885,7.1979027
0.8902959,-0.5643175,7.2492498
0.9014984,-0.6633073,7.2989151
0.9125373,-0.7624800,7.3485804
0.9234035,-0.8618302,7.3982457
0.9340878,-0.9613527,7.4479110
0.9445275,-1.0605225,7.4954384
0.9547561,-1.1596939,7.5423130
0.9647859,-1.2590207,7.5891876
0.9746118,-1.3584984,7.6360622
0.9842273,-1.4581032,7.6828530
0.9935786,-1.5572975,7.7272520
1.0027167,-1.6566278,7.7716510
1.0116397,-1.7560899,7.8160500
1.0203452,-1.8556797,7.8604490
1.0288201,-1.9552612,7.9042444
1.0370462,-2.0546129,7.9464430
1.0450530,-2.1540784,7.9886416
1.0528404,-2.2536535,8.0308402
1.0604083,-2.3533342,8.0730387
1.0677425,-2.4529219,8.1142734
1.0748443,-2.5524054,8.1545121
1.0817298,-2.6519815,8.1947509
1.0884001,-2.7516458,8.2349896
1.0948565,-2.8513946,8.2752283
1.1010868,-2.9510070,8.3142586
1.1071012,-3.0505981,8.3527467
1.1129078,-3.1502609,8.3912348
1.1185086,-3.2499915,8.4297229
1.1239055,-3.3497857,8.4682110
1.1290902,-3.4494363,8.5053280
1.1340747,-3.5491129,8.5422469
1.1388628,-3.6488408,8.5791657
1.1434569,-3.7486159,8.6160845
1.1478590,-3.8484275,8.6529387
1.1520658,-3.9481350,8.6884449
1.1560861,-4.0478776,8.7239511
1.1599221,-4.1476512,8.7594573
1.1635762,-4.2474518,8.7949635
1.1670502,-4.3472615,8.8302006
1.1703451,-4.4470383,8.8644292
1.1734648,-4.5468299,8.8986578
1.1764111,-4.6466322,8.9328864
1.1791860,-4.7464411,8.9671151
1.1817917,-4.8462606,9.0009114
1.1842297,-4.9460918,9.0339788
1.1865012,-5.0459175,9.0670462
1.1886073,-5.1457334,9.1001136
1.1905492,-5.2455355,9.1331810
