0.5362075,3.0964664,2.8609955
0.6642009,2.6184374,2.9554488
0.7758977,2.1290003,3.0463716
0.8705015,1.6390750,3.1313557
0.9505494,1.1452855,3.2108216
1.0172195,0.6495123,3.2853896
1.0717526,0.1527053,3.3525057
1.1153822,-0.3456472,3.4148480
1.1490433,-0.8441399,3.4685395
1.1740806,-1.3433760,3.5173004
1.1918497,-1.8426034,3.5376018
1.2025882,-2.3421798,3.5416059
1.2057030,-2.8423424,3.4815927
1.2006693,-3.3418664,3.3820902
1.1869449,-3.8424738,3.2730847
1.1643803,-4.3411584,3.1576876
1.1327360,-4.8412605,3.0337696
1.0918463,-5.3381799,2.9041625
1.0403019,-5.8372946,2.7658458
0.9768590,-6.3302282,2.6228532
0.8966010,-6.8270806,2.4708221
0.7967190,-7.3102101,2.3161711
0.6644166,-7.7983723,2.1744001
0.4938983,-8.2650879,2.0529329
0.2726945,-8.7118580,1.9754442
-0.0060298,-9.1301193,1.8524618
-0.3370698,-9.4998084,1.6915701
-0.7205880,-9.8140075,1.4731769
-1.1610320,-10.0539925,1.1178819
-1.6520973,-10.1151967,1.0000000
-2.1198543,-9.9505749,1.0701988
-2.4944190,-9.6269768,1.2240391
-2.7919867,-9.2355012,1.3770366
-3.0266518,-8.7961302,1.4941687
-3.1829562,-8.3225489,1.5710669
-3.2602959,-7.8239359,1.8277238
-3.2790811,-7.3379875,2.0133643
-3.2603714,-6.8398409,2.1718246
-3.2113766,-6.3332506,2.3090578
-3.1380836,-5.8459209,2.4248814
-3.0402319,-5.3459409,2.5374003
-2.9280977,-4.8651254,2.6375218
-2.7994685,-4.3767273,2.7371536
-2.6618286,-3.8979394,2.8322961
-2.5156719,-3.4186419,2.9270405
-2.3644880,-2.9401929,2.9836848
-2.2124197,-2.4650398,3.0312136
-2.0604943,-1.9851135,2.9558562
-1.9153883,-1.5088628,2.8267282
-1.7781530,-1.0236775,2.6942205
-1.6588709,-0.5424225,2.5598900
-1.5617969,-0.0458823,2.4323093
-1.5001762,0.4386325,2.3072377
-1.4789269,0.9481811,2.2442479
-1.5065547,1.4475124,2.1501206
-1.5845011,1.9316467,2.0084359
-1.7106110,2.4131724,1.8154935
-1.8542620,2.8829532,1.6054596
-1.8767790,3.3602536,1.4198428
-1.8070063,3.8163771,1.2884719
-1.8376333,4.3484159,1.1571010
-2.0996189,4.8051236,1.1199180
-2.5386224,5.0973866,1.1516064
-2.9993305,5.1542644,1.1832949
-3.3379446,4.9004702,1.1338201
-3.5062642,4.4215351,1.0638853
-3.5150355,3.8794033,1.0300430
-3.3715791,3.3608846,1.3773523
-3.1667685,2.9317161,1.7246617
-2.9743529,2.4601891,1.8418944
-2.8946231,2.0022511,1.8484665
-2.9113341,1.5000677,1.8907281
-3.0113273,1.0184005,1.9296055
-3.1832493,0.5418551,1.9570770
-3.4200001,0.1007938,1.9545979
-3.7262627,-0.2601094,1.8252986
-3.9713368,-0.6775433,1.5096389
-4.2722718,-1.0961137,1.0971069
-4.7225407,-1.3320386,1.0000000
-5.2266292,-1.3471221,1.0000000
-5.6257842,-1.0907554,1.0942987
-5.8624505,-0.6327945,1.2892146
-6.0156582,-0.1420408,1.4645060
-6.1505575,0.3208221,1.5613027
-6.2212358,0.7743664,1.7444157
-6.2623087,1.3030067,1.9584522
-6.2851985,1.7944996,2.1190843
-6.2953260,2.3014877,2.2784171
-6.2911101,2.7944288,2.3900724
-6.2700932,3.2992064,2.5017278
-6.2291660,3.7992742,2.4128206
-6.1644690,4.2940210,2.3017615
-6.0692957,4.7907599,2.1928163
-5.9415152,5.2707853,2.0845764
-5.7679387,5.7501857,1.9744636
-5.5530400,6.1913708,1.8634568
-5.2642699,6.6201928,1.7672262
-4.9241663,6.9702145,1.6777422
-4.5194187,7.2386748,1.5933488
-4.0663105,7.4338626,1.4840937
-3.5772416,7.5383851,1.3699672
-3.0813047,7.5242003,1.4377064
-2.6003891,7.4009808,1.5007056
-2.1489985,7.1826172,1.6018264
-1.7384113,6.8926236,1.7464594
-1.3675490,6.5581257,1.8918668
-1.0270049,6.1895536,2.0311418
-0.7196622,5.7987468,2.1649419
-0.4424529,5.3831433,2.2955841
-0.1977138,4.9527306,2.4207673
0.0214547,4.5042807,2.5407228
0.2156742,4.0444275,2.6529262
0.3854021,3.5784469,2.7586106
0.5362075,3.0964664,2.8609955
